question_id,domain,prompt_minimum_en,prompt_minimum_pt,prompt_contextual_en,prompt_contextual_pt,prompt_detailed_en,prompt_detailed_pt,prompt_structured_en,prompt_structured_pt
CG011,General Knowledge,What is DNA and what is its function in living organisms?,O que é DNA e qual sua função nos organismos vivos?,I'm trying to understand the basics of biology. What is DNA and what is its function in living organisms?,Estou tentando entender o básico de biologia. O que é DNA e qual sua função nos organismos vivos?,"I'm trying to understand the basics of biology. What is DNA and what is its function in living organisms? A complete answer should explain what the acronym DNA stands for, describe its double helix structure, and its main function related to genetic information.","Estou tentando entender o básico de biologia. O que é DNA e qual sua função nos organismos vivos? Uma resposta completa deve explicar o que a sigla DNA significa, descrever sua estrutura de dupla hélice e sua função principal relacionada à informação genética.","Here is an example of a clear, comprehensive answer to a biology question:
Question: ""What is a cell?""
Answer: ""A cell is the basic structural and functional unit of all known living organisms. It's the smallest unit of life, often called the 'building block of life'. Key components include the cell membrane, which encloses it; the cytoplasm, a jelly-like substance inside; and the nucleus, which contains the genetic material.""

---
Now, using the same level of detail and clear style, answer the following question:
Question: ""What is DNA and what is its function in living organisms?""","Aqui está um exemplo de uma resposta clara e completa para uma pergunta de biologia:
Pergunta: ""O que é uma célula?""
Resposta: ""Uma célula é a unidade estrutural e funcional básica de todos os organismos vivos conhecidos. É a menor unidade da vida, frequentemente chamada de 'bloco de construção da vida'. Componentes-chave incluem a membrana celular, que a envolve; o citoplasma, uma substância gelatinosa interna; e o núcleo, que contém o material genético.""

---
Agora, usando o mesmo nível de detalhe e estilo claro, responda à seguinte pergunta:
Pergunta: ""O que é DNA e qual sua função nos organismos vivos?"""
CG012,General Knowledge,Describe the life cycle of a star.,Descreva o ciclo de vida de uma estrela.,I'm watching a documentary about space and got curious. Can you describe the life cycle of a star?,stou assistindo a um documentário sobre o espaço e fiquei curioso(a). Você pode descrever o ciclo de vida de uma estrela?,"I'm watching a documentary about space and got curious. Describe the life cycle of a star. A complete answer should cover its birth from a nebula, the main sequence phase, and what happens when it dies (becoming a white dwarf or a supernova).","Estou assistindo a um documentário sobre o espaço e fiquei curioso(a). Descreva o ciclo de vida de uma estrela. Uma resposta completa deve cobrir seu nascimento a partir de uma nebulosa, a fase da sequência principal e o que acontece quando ela morre (tornando-se uma anã branca ou uma supernova).","Here is an example of a clear, comprehensive answer describing a natural cycle:
Question: ""Describe the water cycle.""
Answer: ""The water cycle describes the continuous movement of water on, above, and below the surface of the Earth. It begins with **evaporation**, where the sun heats water in rivers, lakes, or oceans and turns it into vapor. This vapor rises, cools, and undergoes **condensation** to form clouds. When the clouds get heavy enough, the water falls back to Earth as **precipitation** (rain or snow). Finally, the water is collected in bodies of water, starting the cycle over again.""

---
Now, using the same level of detail and clear style, answer the following question:
Question: ""Describe the life cycle of a star.""","Aqui está um exemplo de uma resposta clara e completa descrevendo um ciclo natural:
Pergunta: ""Descreva o ciclo da água.""
Resposta: ""O ciclo da água descreve o movimento contínuo da água na superfície, acima e abaixo da Terra. Ele começa com a **evaporação**, onde o sol aquece a água em rios, lagos ou oceanos e a transforma em vapor. Este vapor sobe, esfria e sofre **condensação** para formar nuvens. Quando as nuvens ficam pesadas o suficiente, a água cai de volta à Terra como **precipitação** (chuva ou neve). Finalmente, a água é coletada em corpos d'água, recomeçando o ciclo.""

---
Agora, usando o mesmo nível de detalhe e estilo claro, responda à seguinte pergunta:
Pergunta: ""Descreva o ciclo de vida de uma estrela."""
CG013,General Knowledge,What is photosynthesis?,O que é fotossíntese?,"I'm trying to help my child with their homework. In simple terms, what is photosynthesis?","Estou tentando ajudar meu/minha filho(a) com a lição de casa. Em termos simples, o que é fotossíntese?","I'm trying to help my child with their homework. In simple terms, what is photosynthesis? A complete answer should mention what plants use to perform it (sunlight, water, carbon dioxide) and what they produce (glucose and oxygen).","Estou tentando ajudar meu/minha filho(a) com a lição de casa. Em termos simples, o que é fotossíntese? Uma resposta completa deve mencionar o que as plantas usam para realizá-la (luz solar, água, dióxido de carbono) e o que elas produzem (glicose e oxigênio).","Here is an example of a simple, clear explanation of a biological process:
Question: ""What is digestion?""
Answer: ""Digestion is the process where your body breaks down large food molecules into smaller ones that can be absorbed and used for energy. It starts in the mouth when you chew, continues in the stomach with acids, and finishes in the intestines where nutrients are absorbed into the blood.""

---
Now, using the same simple and clear style, answer the following question:
Question: ""What is photosynthesis?""","Aqui está um exemplo de uma explicação simples e clara de um processo biológico:
Pergunta: ""O que é digestão?""
Resposta: ""Digestão é o processo no qual seu corpo quebra as grandes moléculas dos alimentos em moléculas menores que podem ser absorvidas e usadas como energia. Começa na boca quando você mastiga, continua no estômago com os ácidos e termina nos intestinos, onde os nutrientes são absorvidos pelo sangue.""

---
Agora, usando o mesmo estilo simples e claro, responda à seguinte pergunta:
Pergunta: ""O que é fotossíntese?"""
CG014,General Knowledge,What are the main characteristics of the Renaissance art movement?,Quais são as principais características do movimento artístico do Renascimento?,I'm planning a trip to Italy and want to appreciate the art better. What are the main characteristics of the Renaissance art movement?,Estou planejando uma viagem à Itália e quero apreciar melhor a arte. Quais são as principais características do movimento artístico do Renascimento?,"I'm planning a trip to Italy and want to appreciate the art better. What are the main characteristics of the Renaissance art movement? A complete answer should mention the focus on humanism, realism, perspective, and the revival of classical themes.","Estou planejando uma viagem à Itália e quero apreciar melhor a arte. Quais são as principais características do movimento artístico do Renascimento? Uma resposta completa deve mencionar o foco no humanismo, realismo, perspectiva e a retomada de temas clássicos.","Here is an example of a clear, comprehensive answer about an art movement:
Question: ""What are the main characteristics of the Impressionist art movement?""
Answer: ""The main characteristics of Impressionism include: 1. **Visible Brushstrokes:** Artists used short, thick strokes of paint. 2. **Emphasis on Light:** A focus on accurately depicting the changing qualities of light. 3. **Ordinary Subject Matter:** Scenes from everyday life were common. 4. **Unusual Visual Angles:** Compositions were often innovative and asymmetrical.""

---
Now, using the same level of detail and clear style, answer the following question:
Question: ""What are the main characteristics of the Renaissance art movement?""","Aqui está um exemplo de uma resposta clara e completa sobre um movimento artístico:
Pergunta: ""Quais são as principais características do movimento artístico Impressionista?""
Resposta: ""As principais características do Impressionismo incluem: 1. **Pinceladas Visíveis:** Artistas usavam pinceladas curtas e grossas. 2. **Ênfase na Luz:** Um foco em representar com precisão as qualidades mutáveis da luz. 3. **Temas Comuns:** Cenas da vida cotidiana eram comuns. 4. **Ângulos Visuais Incomuns:** As composições eram frequentemente inovadoras e assimétricas.""

---
Agora, usando o mesmo nível de detalhe e estilo claro, responda à seguinte pergunta:
Pergunta: ""Quais são as principais características do movimento artístico do Renascimento?"""
CG015,General Knowledge,Who was William Shakespeare and what are three of his most famous plays?,Quem foi William Shakespeare e quais são três de suas peças mais famosas?,I've heard the name Shakespeare my whole life but don't know much about him. Who was he and what are three of his most famous plays?,"Ouvi o nome Shakespeare a vida toda, mas não sei muito sobre ele. Quem foi ele e quais são três de suas peças mais famosas?","I've heard the name Shakespeare my whole life but don't know much about him. Who was he and what are three of his most famous plays? A complete answer should give a brief description of who he was and list three major plays, such as from the categories of tragedy, comedy, and history.","Ouvi o nome Shakespeare a vida toda, mas não sei muito sobre ele. Quem foi ele e quais são três de suas peças mais famosas? Uma resposta completa deve dar uma breve descrição de quem ele foi e listar três peças principais, como das categorias de tragédia, comédia e histórica.","Here is an example of a clear, comprehensive answer about a famous author:
Question: ""Who was Jane Austen and what are two of her most famous novels?""
Answer: ""Jane Austen was an English novelist known for her witty social commentary on the landed gentry of the early 19th century. Two of her most famous novels are **'Pride and Prejudice'**, a romantic novel of manners, and **'Sense and Sensibility'**, which explores the contrast between reason and emotion.""

---
Now, using the same level of detail and clear style, answer the following question:
Question: ""Who was William Shakespeare and what are three of his most famous plays?""
","Aqui está um exemplo de uma resposta clara e completa sobre um(a) autor(a) famoso(a):
Pergunta: ""Quem foi Jane Austen e quais são dois de seus romances mais famosos?""
Resposta: ""Jane Austen foi uma romancista inglesa conhecida por seus comentários sociais espirituosos sobre a aristocracia rural do início do século XIX. Dois de seus romances mais famosos são **'Orgulho e Preconceito'**, um romance de costumes, e **'Razão e Sensibilidade'**, que explora o contraste entre a razão e a emoção.""

---
Agora, usando o mesmo nível de detalhe e estilo claro, responda à seguinte pergunta:
Pergunta: ""Quem foi William Shakespeare e quais são três de suas peças mais famosas?""
"
CG016,General Knowledge,Explain the literary movement of Modernism in Brazil.,Explique o movimento literário do Modernismo no Brasil.,I'm interested in Brazilian literature. Can you explain the literary movement of Modernism in Brazil?,Estou interessado(a) em literatura brasileira. Você pode explicar o movimento literário do Modernismo no Brasil?,"I'm interested in Brazilian literature. Can you explain the literary movement of Modernism in Brazil? A complete answer should mention its beginning with the ""Week of Modern Art"" in 1922 and its main goals, like breaking with traditionalism and creating a national identity.","Estou interessado(a) em literatura brasileira. Você pode explicar o movimento literário do Modernismo no Brasil? Uma resposta completa deve mencionar seu início com a ""Semana de Arte Moderna"" de 1922 e seus objetivos principais, como a ruptura com o tradicionalismo e a criação de uma identidade nacional.","Here is an example of a clear, comprehensive answer about a literary movement:
Question: ""Explain the literary movement of Romanticism in England.""
Answer: ""English Romanticism was a literary movement of the late 18th and early 19th centuries. It emphasized intense emotion, individualism, and a deep appreciation for nature. Key characteristics included a glorification of the past and a preference for the medieval over the classical. Major figures include William Wordsworth, Lord Byron, and Mary Shelley.""

---
Now, using the same level of detail and clear style, answer the following question:
Question: ""Explain the literary movement of Modernism in Brazil.""
","Aqui está um exemplo de uma resposta clara e completa sobre um movimento literário:
Pergunta: ""Explique o movimento literário do Romantismo na Inglaterra.""
Resposta: ""O Romantismo Inglês foi um movimento literário do final do século XVIII e início do XIX. Ele enfatizava a emoção intensa, o individualismo e uma profunda apreciação pela natureza. Características-chave incluíam a glorificação do passado e a preferência pelo medieval em vez do clássico. Figuras importantes incluem William Wordsworth, Lord Byron e Mary Shelley.""

---
Agora, usando o mesmo nível de detalhe e estilo claro, responda à seguinte pergunta:
Pergunta: ""Explique o movimento literário do Modernismo no Brasil."""
CG017,General Knowledge,How does a blockchain work?,Como uma blockchain funciona?,"I keep hearing about blockchain and cryptocurrencies. How does a blockchain work, in simple terms?","Eu continuo ouvindo sobre blockchain e criptomoedas. Como uma blockchain funciona, em termos simples?","I keep hearing about blockchain and cryptocurrencies. How does a blockchain work, in simple terms? A complete answer should cover the concepts of blocks, cryptographic hashes, and the decentralized ledger.","Eu continuo ouvindo sobre blockchain e criptomoedas. Como uma blockchain funciona, em termos simples? Uma resposta completa deve cobrir os conceitos de blocos, hashes criptográficos e o livro-razão descentralizado.","Here is an example of a simple, clear explanation of a complex tech concept:
Question: ""How does the Internet work?""
Answer: ""The Internet is a global network of computers. When you send an email, your computer breaks it into small pieces called packets. Each packet travels independently across the network, passed along by special computers called routers, until they reach their destination. There, they are reassembled back into your original email. This system allows for efficient and robust communication.""

---
Now, using the same simple and clear style, answer the following question:
Question: ""How does a blockchain work?""","Aqui está um exemplo de uma explicação simples e clara de um conceito complexo de tecnologia:
Pergunta: ""Como a Internet funciona?""
Resposta: ""A Internet é uma rede global de computadores. Quando você envia um e-mail, seu computador o divide em pequenos pacotes. Cada pacote viaja de forma independente pela rede, sendo passado por computadores especiais chamados roteadores, até chegar ao seu destino. Lá, eles são remontados no seu e-mail original. Este sistema permite uma comunicação eficiente e robusta.""

---
Agora, usando o mesmo estilo simples e claro, responda à seguinte pergunta:
Pergunta: ""Como uma blockchain funciona?"""
CG018,General Knowledge,hat is the concept of Gross Domestic Product (GDP)?,O que é o conceito de Produto Interno Bruto (PIB)?,"When I read the news, they always mention GDP. What is the concept of Gross Domestic Product (GDP)?","Quando leio as notícias, eles sempre mencionam o PIB. O que é o conceito de Produto Interno Bruto (PIB)?","When I read the news, they always mention GDP. What is the concept of Gross Domestic Product (GDP)? A complete answer should explain that it's the total value of goods and services produced in a country and why it is used as a measure of economic health.","Quando leio as notícias, eles sempre mencionam o PIB. O que é o conceito de Produto Interno Bruto (PIB)? Uma resposta completa deve explicar que é o valor total de bens e serviços produzidos em um país e por que é usado como uma medida da saúde econômica.","Here is an example of a simple, clear explanation of an economic concept:
Question: ""What is inflation?""
Answer: ""Inflation is the rate at which the general level of prices for goods and services is rising, and subsequently, purchasing power of currency is falling. In simple terms, it means your money buys you less today than it did yesterday. It's often measured by the Consumer Price Index (CPI).""

---
Now, using the same simple and clear style, answer the following question:
Question: ""What is the concept of Gross Domestic Product (GDP)?""","Aqui está um exemplo de uma explicação simples e clara de um conceito econômico:
Pergunta: ""O que é inflação?""
Resposta: ""Inflação é a taxa na qual o nível geral de preços de bens e serviços está subindo e, consequentemente, o poder de compra da moeda está caindo. Em termos simples, significa que seu dinheiro compra menos hoje do que comprava ontem. É frequentemente medida pelo Índice de Preços ao Consumidor (IPC).""

---
Agora, usando o mesmo estilo simples e claro, responda à seguinte pergunta:
Pergunta: ""O que é o conceito de Produto Interno Bruto (PIB)?"""
CG019,General Knowledge,Explain the basic principle of how GPS (Global Positioning System) works.,Explique o princípio básico de como o GPS (Sistema de Posicionamento Global) funciona.,"I use GPS on my phone every day, but have no idea how it works. Can you explain the basic principle?","Eu uso o GPS no meu celular todo dia, mas não tenho ideia de como funciona. Você pode explicar o princípio básico?
","I use GPS on my phone every day, but have no idea how it works. Can you explain the basic principle? A complete answer should mention the network of satellites, the signals they send, and the concept of trilateration.","Eu uso o GPS no meu celular todo dia, mas não tenho ideia de como funciona. Você pode explicar o princípio básico? Uma resposta completa deve mencionar a rede de satélites, os sinais que eles enviam e o conceito de trilateração.","Here is an example of a simple, clear explanation of how a technology works:
Question: ""Explain the basic principle of how a microwave oven works.""
Answer: ""A microwave oven works by using special radio waves called microwaves. These waves are very good at exciting water molecules in food. When the water molecules get excited, they vibrate rapidly, creating heat. This heat is what cooks the food from the inside out.""

---
Now, using the same simple and clear style, answer the following question:
Question: ""Explain the basic principle of how GPS (Global Positioning System) works.""","Aqui está um exemplo de uma explicação simples e clara de como uma tecnologia funciona:
Pergunta: ""Explique o princípio básico de como um forno de micro-ondas funciona.""
Resposta: ""Um forno de micro-ondas funciona usando ondas de rádio especiais chamadas micro-ondas. Essas ondas são muito boas em agitar as moléculas de água nos alimentos. Quando as moléculas de água se agitam, elas vibram rapidamente, criando calor. É esse calor que cozinha a comida de dentro para fora.""

---
Agora, usando o mesmo estilo simples e claro, responda à seguinte pergunta:
Pergunta: ""Explique o princípio básico de como o GPS (Sistema de Posicionamento Global) funciona.""
"
CG020,General Knowledge,What was the Industrial Revolution?,O que foi a Revolução Industrial?,The term 'Industrial Revolution' is used a lot. Can you tell me what it was?,O termo 'Revolução Industrial' é muito usado. Você pode me dizer o que foi?,"The term 'Industrial Revolution' is used a lot. Can you tell me what it was? A complete answer should mention the time period (18th-19th centuries), the transition from agrarian to industrial societies, and key inventions like the steam engine.","O termo 'Revolução Industrial' é muito usado. Você pode me dizer o que foi? Uma resposta completa deve mencionar o período (séculos XVIII-XIX), a transição de sociedades agrárias para industriais e invenções-chave como a máquina a vapor.","Here is an example of a clear, comprehensive answer about a historical period:
Question: ""What was the Renaissance?""
Answer: ""The Renaissance was a period in European history, from the 14th to the 17th century, regarded as the cultural bridge between the Middle Ages and modern history. It was marked by a 'rebirth' of interest in the art, science, and literature of ancient Greece and Rome, leading to profound changes in art, politics, and science.""

---
Now, using the same level of detail and clear style, answer the following question:
Question: ""What was the Industrial Revolution?""","Aqui está um exemplo de uma resposta clara e completa sobre um período histórico:
Pergunta: ""O que foi o Renascimento?""
Resposta: ""O Renascimento foi um período na história europeia, do século XIV ao XVII, considerado a ponte cultural entre a Idade Média e a história moderna. Foi marcado por um 'renascimento' do interesse na arte, ciência e literatura da Grécia e Roma antigas, levando a profundas mudanças na arte, política e ciência.""

---
Agora, usando o mesmo nível de detalhe e estilo claro, responda à seguinte pergunta:
Pergunta: ""O que foi a Revolução Industrial?"""
TC001,Technical,What is the difference between a list and a tuple in Python?,Qual é a diferença entre uma lista e uma tupla em Python?,"As a Python beginner, I'm confused about the difference between a list and a tuple.","Como iniciante em Python, estou confuso(a) sobre a diferença entre uma lista e uma tupla.","As a Python beginner, explain the difference between a list and a tuple. A complete answer should cover the key differences in mutability (changeable vs. unchangeable) and typical use cases for each.","Como iniciante em Python, explique a diferença entre uma lista e uma tupla. Uma resposta completa deve cobrir as principais diferenças em mutabilidade (mutável vs. imutável) e os casos de uso típicos de cada um.","Here is an example of a clear answer comparing two Python concepts:
Question: ""Explain the difference between == and is in Python.""
Chain of Thought: The core distinction is value vs. identity. I'll define that == checks for value equality and 'is' checks for object identity in memory. A code example showing where they differ is crucial.
Answer: ""The == operator checks if the values of two objects are equal. The 'is' operator checks if two variables point to the exact same object in memory. For example, a = [1, 2] and b = [1, 2]. Here, a == b is True, but a is b is False because they are separate objects.""

---
Now, using the same clear distinction and a code example, answer:
Question: ""What is the difference between a list and a tuple in Python?""","Aqui está um exemplo de uma resposta clara comparando dois conceitos de Python:
Pergunta: ""Explique a diferença entre == e is em Python.""
Chain of Thought: A distinção principal é valor vs. identidade. Vou definir que == verifica a igualdade de valor e 'is' verifica a identidade do objeto na memória. Um exemplo de código mostrando onde eles diferem é crucial.
Resposta: ""O operador == verifica se os valores de dois objetos são iguais. O operador 'is' verifica se duas variáveis apontam para o mesmo objeto na memória. Por exemplo, a = [1, 2] e b = [1, 2]. Aqui, a == b é True, mas a is b é False porque são objetos separados.""

---
Agora, usando a mesma distinção clara e um exemplo de código, responda:
Pergunta: ""Qual é a diferença entre uma lista e uma tupla em Python?"""
TC002,Technical,Explain the purpose of the __init__ method in a Python class.,Explique o propósito do método __init__ em uma classe Python.,I'm learning about Object-Oriented Programming in Python and I keep seeing the __init__ method.,Estou aprendendo sobre Programação Orientada a Objetos em Python e continuo vendo o método __init__.,Explain the purpose of the __init__ method in a Python class. A complete answer should describe its role as a constructor and how it's used to initialize the instance's attributes.,Explique o propósito do método __init__ em uma classe Python. Uma resposta completa deve descrever seu papel como um construtor e como ele é usado para inicializar os atributos da instância.,"Here is an example of a clear explanation of a Python special method:
Question: ""Explain the purpose of the __str__ method in a Python class.""
Chain of Thought: The user wants to know about __str__. I'll explain its main purpose: to provide a user-friendly string representation of an object. I'll mention when it's called (e.g., with print()) and contrast it with the default object representation.
Answer: ""The __str__ method is used to define a user-friendly string representation of an object. When you use the print() function on an instance of your class, Python calls its __str__ method. If you don't define it, print() will just show the object's memory address, which isn't very helpful.""

---
Now, using the same clear style, answer:
Question: ""Explain the purpose of the __init__ method in a Python class.""","Aqui está um exemplo de uma explicação clara de um método especial do Python:
Pergunta: ""Explique o propósito do método __str__ em uma classe Python.""
Chain of Thought: O usuário quer saber sobre o __str__. Vou explicar seu propósito principal: fornecer uma representação em string amigável de um objeto. Vou mencionar quando ele é chamado (ex: com print()) e contrastá-lo com a representação padrão do objeto.
Resposta: ""O método __str__ é usado para definir uma representação em string amigável de um objeto. Quando você usa a função print() em uma instância da sua classe, o Python chama seu método __str__. Se você não o definir, print() apenas mostrará o endereço de memória do objeto, o que não é muito útil.""

---
Agora, usando o mesmo estilo claro, responda:
Pergunta: ""Explique o propósito do método __init__ em uma classe Python."""
TC003,Technical,What are decorators in Python and what are they used for?,O que são decoradores (decorators) em Python e para que são usados?,"I've seen Python code with an ""@"" symbol above functions. What are those decorators and what are they for?","Já vi código Python com um símbolo ""@"" acima de funções. O que são esses decoradores e para que servem?","I've seen Python code with an ""@"" symbol above functions. Explain what decorators are in Python. A complete answer should describe that they are functions that modify other functions, and mention common use cases like logging, timing, or access control.","Eu vi um código em Python com um símbolo ""@"" acima das funções. Explique o que são decoradores em Python. Uma resposta completa deve descrever que são funções que modificam outras funções e mencionar casos de uso comuns como logging, medição de tempo ou controle de acesso.
","Here is an example of a clear explanation of an advanced Python feature:
Question: ""What are context managers (the 'with' statement) in Python?""
Answer: ""A context manager is an object used with the 'with' statement to ensure resources are properly managed. For example, when you open a file using 'with', Python automatically ensures the file is closed afterward, even if errors occur, making the code cleaner and safer.""

---
Now, using the same style, answer the following question:
Question: ""What are decorators in Python and what are they used for?""","Aqui está um exemplo de uma explicação clara de um recurso avançado do Python:
Pergunta: ""O que são gerenciadores de contexto (a declaração 'with') em Python?""
Resposta: ""Um gerenciador de contexto é um objeto usado com a declaração 'with' para garantir que recursos sejam gerenciados corretamente. Por exemplo, quando você abre um arquivo usando 'with', o Python garante automaticamente que o arquivo seja fechado depois, mesmo que ocorram erros, tornando o código mais limpo e seguro.""

---
Agora, usando o mesmo estilo, responda à seguinte pergunta:
Pergunta: ""O que são decoradores (decorators) em Python e para que são usados?"""
TC004,Technical,Describe what a Python generator is and why it's memory efficient.,Descreva o que é um gerador (generator) em Python e por que ele é eficiente em termos de memória.,My colleague told me to use a generator instead of a list for a large dataset. What is a generator and why is it memory efficient?,Meu colega me disse para usar um gerador em vez de uma lista para um conjunto de dados grande. O que é um gerador e por que ele economiza memória?,"My colleague told me to use a generator for a large dataset. Describe what a Python generator is. A complete answer should explain that it yields items one at a time instead of building a full list in memory, and mention the 'yield' keyword.","Meu colega me disse para usar um gerador para um grande conjunto de dados. Descreva o que é um gerador em Python. Uma resposta completa deve explicar que ele produz itens um de cada vez em vez de construir uma lista completa na memória, e mencionar a palavra-chave 'yield'.","Here is an example of a clear explanation of a Python construct:
Question: ""What is a list comprehension in Python?""
Answer: ""A list comprehension is a compact syntactic construct for creating a list from an iterable. It offers a shorter and often more readable syntax than a traditional 'for' loop. For example, squares = [x*x for x in range(5)] creates a list of squares.""

---
Now, using the same style, answer the following question:
Question: ""Describe what a Python generator is and why it's memory efficient.""","Aqui está um exemplo de uma explicação clara de uma construção do Python:
Pergunta: ""O que é uma 'list comprehension' em Python?""
Resposta: ""Uma 'list comprehension' é uma construção sintática compacta para criar uma lista a partir de um iterável. Ela oferece uma sintaxe mais curta e frequentemente mais legível do que um laço 'for' tradicional. Por exemplo, quadrados = [x*x for x in range(5)] cria uma lista de quadrados.""

---
Agora, usando o mesmo estilo, responda à seguinte pergunta:
Pergunta: ""Descreva o que é um gerador (generator) em Python e por que ele é eficiente em termos de memória."""
TC005,Technical,What is the Global Interpreter Lock (GIL) in Python?,O que é o Global Interpreter Lock (GIL) em Python?,I'm learning about multi-threading in Python and came across the term 'GIL'. What is the Global Interpreter Lock?,"Estou aprendendo sobre multithreading em Python e me deparei com o termo ""GIL"". O que é o Bloqueio Global do Interpretador?","I'm learning about multi-threading in Python and came across the 'GIL'. Explain the Global Interpreter Lock (GIL). A complete answer should state that it's a mutex that allows only one thread to execute Python bytecode at a time, and mention its implications for multi-threaded CPU-bound programs.",Estou aprendendo sobre multithreading em Python e me deparei com o termo 'GIL'. Explique o Global Interpreter Lock (GIL). Uma resposta completa deve afirmar que é um mutex que permite que apenas uma thread execute bytecode Python por vez e mencionar suas implicações para programas multi-thread que são intensivos em CPU.,"Here is an example of a clear explanation of a core Python concept:
Question: ""What is garbage collection in Python?""
Answer: ""Garbage collection in Python is a process that automatically reclaims memory occupied by objects that are no longer in use. The primary mechanism is reference counting: Python counts how many variables point to an object, and when this count drops to zero, the object's memory is freed.""

---
Now, using the same style, answer the following question:
Question: ""What is the Global Interpreter Lock (GIL) in Python?""","Aqui está um exemplo de uma explicação clara de um conceito central do Python:
Pergunta: ""O que é a coleta de lixo (garbage collection) em Python?""
Resposta: ""A coleta de lixo em Python é um processo que recupera automaticamente a memória ocupada por objetos que não estão mais em uso. O mecanismo principal é a contagem de referências: o Python conta quantas variáveis apontam para um objeto e, quando essa contagem chega a zero, a memória do objeto é liberada.""

---
Agora, usando o mesmo estilo, responda à seguinte pergunta:
Pergunta: ""O que é o Global Interpreter Lock (GIL) em Python?"""
TC006,Technical,How do you handle exceptions in Python using try/except blocks?,Como você lida com exceções em Python usando blocos try/except?,My Python script crashes when it encounters an error. How do I handle exceptions using try/except blocks?,Meu script Python trava quando encontra um erro. Como lidar com exceções usando blocos try/except?,"My Python script crashes when it encounters an error. Explain how to handle exceptions in Python. A complete answer should describe the purpose of the 'try' and 'except' blocks, and also mention the optional 'else' and 'finally' blocks.",Meu script Python para de funcionar quando encontra um erro. Explique como lidar com exceções em Python. Uma resposta completa deve descrever o propósito dos blocos 'try' e 'except' e também mencionar os blocos opcionais 'else' e 'finally'.,"Here is an example of a clear explanation of a Python control flow structure:
Question: ""How do you use a 'for' loop in Python?""
Answer: ""A 'for' loop in Python is used to iterate over a sequence like a list, tuple, or string. For each item in the sequence, the code block inside the loop is executed. For example: fruits = ['apple', 'banana']; for fruit in fruits: print(fruit) will print each fruit on a new line.""

---
Now, using the same style, answer the following question:
Question: ""How do you handle exceptions in Python using try/except blocks?""","Aqui está um exemplo de uma explicação clara de uma estrutura de controle de fluxo do Python:
Pergunta: ""Como você usa um laço 'for' em Python?""
Resposta: ""Um laço 'for' em Python é usado para iterar sobre uma sequência como uma lista, tupla ou string. Para cada item na sequência, o bloco de código dentro do laço é executado. Por exemplo: frutas = ['maçã', 'banana']; for fruta in frutas: print(fruta) imprimirá cada fruta em uma nova linha.""

---
Agora, usando o mesmo estilo, responda à seguinte pergunta:
Pergunta: ""Como você lida com exceções em Python usando blocos try/except?""
"
TC007,Technical,What is a list comprehension in Python and why is it useful?,"O que é uma ""list comprehension"" em Python e por que ela é útil?",I saw a weird-looking syntax for creating lists in one line in Python. What is a list comprehension and why is it useful?,Vi uma sintaxe estranha para criar listas em uma linha em Python. O que é compreensão de lista e por que ela é útil?,I saw a concise syntax for creating lists in Python. What is a list comprehension? A complete answer should explain that it's a shorter way to create lists and provide an example comparing it to a traditional 'for' loop.,Eu vi uma sintaxe concisa para criar listas em Python. O que é uma 'list comprehension'? Uma resposta completa deve explicar que é uma forma mais curta de criar listas e fornecer um exemplo comparando-a a um laço 'for' tradicional.,"Here is an example of a clear explanation of a Python syntactic feature:
Question: ""What are f-strings in Python and why are they useful?""
Answer: ""F-strings (formatted string literals), introduced in Python 3.6, provide a concise and convenient way to embed expressions inside string literals. They are more readable and faster than other formatting methods. For example, instead of 'Hello, ' + name, you can simply write f'Hello, {name}'.""

---
Now, using the same style, answer the following question:
Question: ""What is a list comprehension in Python and why is it useful?""","Aqui está um exemplo de uma explicação clara de um recurso sintático do Python:
Pergunta: ""O que são f-strings em Python e por que são úteis?""
Resposta: ""F-strings (literais de string formatadas), introduzidas no Python 3.6, fornecem uma maneira concisa e conveniente de incorporar expressões dentro de literais de string. Elas são mais legíveis e rápidas do que outros métodos de formatação. Por exemplo, em vez de 'Olá, ' + nome, você pode simplesmente escrever f'Olá, {nome}'.""

---
Agora, usando o mesmo estilo, responda à seguinte pergunta:
Pergunta: ""O que é uma 'list comprehension' em Python e por que ela é útil?""
"
